Page Title,Section,Vehicle Info,Details
Select Vehicle Class,0,,
Select Vehicle Class,Vehicle Option 1, - Midsize SUV AWD (Ford Escape or similar),Price: CAD 113.77 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 2, - Small Pickup (Chevy Colorado or similar),Price: CAD 113.77 | Automatic | 5 People | 3 Bags
Select Vehicle Class,Vehicle Option 3, - Intermediate SUV (Ford Escape or similar),Price: CAD 124.98 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 4, - Compact SUV (Hyundai Venue or similar),Price: CAD 126.35 | Automatic | 5 People | 3 Bags
Select Vehicle Class,Vehicle Option 5, - Premium (Nissan Maxima or similar),Price: CAD 128.97 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 6, - Compact SUV AWD (Kia Seltos or similar),Price: CAD 132.40 | Automatic | 5 People | 3 Bags
Select Vehicle Class,Vehicle Option 7, - Standard SUV AWD (Ford Edge AWD or similar),Price: CAD 147.95 | Automatic | 5 People | 5 Bags
Select Vehicle Class,Vehicle Option 8, - 1/2 Ton Pickup (Ford F150 or similar),Price: CAD 160.46 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 9, - Standard SUV (Ford Edge or similar),Price: CAD 167.12 | Automatic | 5 People | 5 Bags
Select Vehicle Class,Vehicle Option 10, - Standard Crossover AWD (Ford Explorer AWD or similar),Price: CAD 169.91 | Automatic | 6 People | 3 Bags
Select Vehicle Class,Vehicle Option 11, - You Click. We Pick. (Vehicle determined upon pick-up Compact or Larger or similar),Price: CAD 206.68 | Automatic | 5 People | 2 Bags
Select Vehicle Class,Vehicle Option 12, - Intermediate (Kia Forte or similar),Price: CAD 215.72 | Automatic | 5 People | 3 Bags
Select Vehicle Class,Vehicle Option 13, - Standard (Volkswagen Jetta or similar),Price: CAD 218.67 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 14, - Economy (Kia Rio or similar),Price: CAD 219.63 | Automatic | 4 People | 2 Bags
Select Vehicle Class,Vehicle Option 15, - Compact (Nissan Versa or similar),Price: CAD 226.94 | Automatic | 5 People | 2 Bags
Select Vehicle Class,Vehicle Option 16, - Full Size (Chevrolet Malibu or similar),Price: CAD 228.75 | Automatic | 5 People | 4 Bags
Select Vehicle Class,Vehicle Option 17, - 7 Passenger Minivan (Chrysler Pacifica or similar),Price: CAD 232.43 | Automatic | 7 People | 5 Bags
Select Vehicle Class,Vehicle Option 18, - Premium Special (Audi A3 or BMW 2 Series Gran Coupe or similar),Price: CAD 266.40 | Automatic | 5 People | 3 Bags
Select Vehicle Class,Vehicle Option 19, - Full Size Open-Top SUV AWD (Jeep Wrangler Unlimited or Ford Bronco or similar),Price: Call For Availability | Automatic | 5 People | 5 Bags
